192.168.56.1,9*9,81,19/10/2023 - 13:24:1 
192.168.56.1,(9*9)/3,27,19/10/2023 - 13:24:25 
192.168.56.1,-(9*9)/3,-27,19/10/2023 - 13:24:41 
192.168.56.1,(5*7)+(12/6) ,37,19/10/2023 - 14:12:24 
192.168.56.1,3,3,19/10/2023 - 14:13:6 
192.168.56.1,59*6,354,19/10/2023 - 14:48:41 
192.168.56.1,55*2,110,19/10/2023 - 14:58:2 
192.168.56.1,53,53,19/10/2023 - 15:4:59
192.168.56.1,85*6,510,19/10/2023 - 15:25:49 
192.168.56.1,8*5,40,19/10/2023 - 15:26:7 
192.168.56.1,85*5,425,19/10/2023 - 15:27:50 
192.168.56.1,87+3,90,19/10/2023 - 15:29:55 
192.168.56.1,96*3,288,19/10/2023 - 15:31:8 
192.168.56.1,54**8,2147483647,19/10/2023 - 15:31:23 
